id,city,date,player_of_match,venue,neutral_venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,eliminator,method,umpire1,umpire2
1178418.0,Kolkata,2019-04-25,VR Aaron,venue,0,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,runs,3.0,N,,AY Dandekar,IJ Gould
1178419.0,Chennai,2019-04-26,RG Sharma,venue,0,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Mumbai Indians,runs,46.0,N,,AK Chaudhary,AK Chaudhary
1178420.0,Jaipur,2019-04-27,JD Unadkat,venue,0,Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,runs,7.0,N,,A Nand Kishore,A Nand Kishore
1178421.0,Delhi,2019-04-28,S Dhawan,venue,0,Delhi Capitals,Royal Challengers Bangalore,Delhi Capitals,bat,Delhi Capitals,runs,16.0,N,,BNJ Oxenford,BNJ Oxenford
1178422.0,Kolkata,2019-04-28,AD Russell,venue,0,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,runs,34.0,N,,IJ Gould,Nitin Menon
1178423.0,Hyderabad,2019-04-29,DA Warner,venue,0,Sunrisers Hyderabad,Kings XI Punjab,Kings XI Punjab,field,Sunrisers Hyderabad,runs,45.0,N,,CK Nandan,S Ravi
1178424.0,Bengaluru,2019-04-30,,venue,0,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,field,,runs,,,,NJ Llong,NJ Llong
1178425.0,Chennai,2019-05-01,MS Dhoni,venue,0,Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Chennai Super Kings,runs,80.0,N,,AY Dandekar,Nitin Menon
1178426.0,Mumbai,2019-05-02,JJ Bumrah,venue,0,Mumbai Indians,Sunrisers Hyderabad,Mumbai Indians,bat,,runs,,Y,,CK Nandan,S Ravi
1178427.0,Chandigarh,2019-05-03,Shubman Gill,venue,0,Kings XI Punjab,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,runs,7.0,N,,BNJ Oxenford,BNJ Oxenford
1178428.0,Bengaluru,2019-05-04,SO Hetmyer,venue,0,Sunrisers Hyderabad,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Royal Challengers Bangalore,runs,5.0,N,,AK Chaudhary,IJ Gould
1178429.0,Delhi,2019-05-04,A Mishra,venue,0,Rajasthan Royals,Delhi Capitals,Rajasthan Royals,bat,Delhi Capitals,runs,4.0,N,,AY Dandekar,AK Chaudhary
1178430.0,Chandigarh,2019-05-05,KL Rahul,venue,0,Chennai Super Kings,Kings XI Punjab,Kings XI Punjab,field,Kings XI Punjab,runs,6.0,N,,C Shamshuddin,C Shamshuddin
1178431.0,Mumbai,2019-05-05,HH Pandya,venue,0,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,runs,9.0,N,,A Nand Kishore,CK Nandan
1181764.0,Chennai,2019-05-07,SA Yadav,venue,0,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Mumbai Indians,runs,6.0,N,,NJ Llong,Nitin Menon
1181766.0,Visakhapatnam,2019-05-08,RR Pant,venue,0,Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,runs,2.0,N,,BNJ Oxenford,S Ravi
1181767.0,Visakhapatnam,2019-05-10,F du Plessis,venue,0,Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,runs,6.0,N,,BNJ Oxenford,S Ravi
1181768.0,Hyderabad,2019-05-12,JJ Bumrah,venue,0,Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,runs,1.0,N,,IJ Gould,Nitin Menon
1216492.0,Abu Dhabi,2020-09-19,AT Rayudu,venue,0,Mumbai Indians,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,runs,5.0,N,,CB Gaffaney,VK Sharma
1216493.0,,2020-09-20,MP Stoinis,venue,0,Delhi Capitals,Kings XI Punjab,Kings XI Punjab,field,,runs,,Y,,AK Chaudhary,Nitin Menon
1216494.0,,2020-09-21,YS Chahal,venue,0,Royal Challengers Bangalore,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Royal Challengers Bangalore,runs,8.0,N,,AY Dandekar,S Ravi
1216495.0,,2020-09-22,SV Samson,venue,0,Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,field,Rajasthan Royals,runs,10.0,N,,C Shamshuddin,RK Illingworth
1216496.0,Abu Dhabi,2020-09-23,RG Sharma,venue,0,Mumbai Indians,Kolkata Knight Riders,Kolkata Knight Riders,field,Mumbai Indians,runs,16.0,N,,CB Gaffaney,VA Kulkarni
1216497.0,,2020-09-24,KL Rahul,venue,0,Kings XI Punjab,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Kings XI Punjab,runs,59.0,N,,AK Chaudhary,PG Pathak
